source,target,pct_val,raw_val
S0OK00370,H8IA01094,2.5,578
S0OK00370,H8VA07094,2.3,524
S0OK00370,H0SC02061,1.2,268
S0OK00370,H0FL03183,0.9,204
S0OK00370,H0CA27085,7.1,1610
S0OK00370,S0LA00386,24.3,5549
S0OK00370,S0AK00196,49.2,11235
S0OK00370,H0OH12179,0.6,145
S0OK00370,H4FL15155,1.5,336
S0OK00370,H0MA01081,1.3,298
S0OK00370,H8NY15148,7.1,1621
S0OK00370,H8CA50098,2.8,646
S0OK00370,H0NJ02171,1.7,394
S0OK00370,P80006117,7.3,1676
S0OK00370,S0KY00339,58.1,13263
S0OK00370,P00006486,1.9,439
S0OK00370,H8NJ03206,2.0,447
S0OK00370,H6MN02131,1.4,317
S0OK00370,H8AZ01104,0.9,207
S0OK00370,H8NY22151,1.7,378
S0OK00370,H8NY19181,1.5,333
S0OK00370,H0NJ05208,1.0,226
S0OK00370,H8CA01257,0.9,196
S0OK00370,H8MA07032,2.4,544
S0OK00370,S0KS00323,51.5,11753
S0OK00370,H8CA09060,0.4,97
S0OK00370,S0NM00058,6.3,1438
S0OK00370,H8UT04053,1.5,344
S0OK00370,P60007168,9.4,2148
S0OK00370,H0WA10075,1.1,262
S0OK00370,H8IL13150,1.3,307
S0OK00370,S0ME00103,0.4,93
S0OK00370,H0VA05145,3.3,762
S0OK00370,H0CA04175,0.6,146
S0OK00370,S0NC00202,52.2,11918
S0OK00370,H0TX24175,4.5,1025
S0OK00370,H8GA07201,2.6,587
S0OK00370,H8WA03198,0.9,208
S0OK00370,H0AR03105,1.1,255
S0OK00370,S0KY00420,3.4,774
S0OK00370,H2IL17071,0.9,201
S0OK00370,H8NH01210,1.2,272
S0OK00370,H8PA06087,0.6,127
S0OK00370,H0PA01325,2.1,475
S0OK00370,H0IN05219,1.7,392
S0OK00370,S0DE00092,0.8,172
S0OK00370,H0CA25154,4.6,1040
S0OK00370,H8TX32098,1.8,404
S0OK00370,H8PA18181,1.5,337
S0OK00370,H8MO01143,1.4,319
S0OK00370,S4NJ00185,3.2,734
S0OK00370,P00009795,4.7,1079
S0OK00370,S8TX00459,0.6,127
S0OK00370,H8IA03124,2.3,535
S0OK00370,S0SD00070,28.1,6406
S0OK00370,H8NY24090,1.6,360
S0OK00370,H8NC09123,0.4,80
S0OK00370,H8MN03143,0.5,104
S0OK00370,H8FL26039,2.3,525
S0OK00370,H0NC02125,0.9,203
S0OK00370,H8NM01331,1.1,251
S0OK00370,H0OH10116,2.1,489
S0OK00370,H8CO03192,1.9,435
S0OK00370,H0FL04157,0.4,85
S0OK00370,H0TX31097,1.4,325
S0OK00370,H8FL27193,0.7,161
S0OK00370,S0AL00156,39.9,9105
S0OK00370,S4MA00028,3.7,835
S0OK00370,H8VA02111,2.2,511
S0OK00370,H8MI08102,2.3,523
S0OK00370,H8TX07140,1.1,246
S0OK00370,P00009621,31.2,7126
S0OK00370,H2CA15094,1.3,286
S0OK00370,H0PA10110,1.7,391
S0OK00370,S4MI00355,38.5,8795
S0OK00370,H0CA53107,1.1,246
S0OK00370,H8CA39174,1.8,405
S0OK00370,H8TX23121,3.6,827
S0OK00370,H8MI11254,1.4,314
S0OK00370,H0TX01108,1.5,352
S0OK00370,H8CA48035,2.2,511
S0OK00370,H0TX03120,1.2,266
S0OK00370,H0MI03316,2.4,558
S0OK00370,H8AZ08083,2.5,574
S0OK00370,H8MN05239,3.7,834
S0OK00370,H0NY02192,1.8,421
S0OK00370,H8CT05245,0.7,165
S0OK00370,S0SC00289,61.7,14091
S0OK00370,H0NY16143,2.4,541
S0OK00370,S8TN00311,4.0,917
S0OK00370,H8IA04106,2.5,569
S0OK00370,H8ME02185,1.7,383
S0OK00370,H8CO06229,1.0,234
S0OK00370,P00010454,1.6,361
S0OK00370,S0NH00219,7.8,1772
S0OK00370,S8OR00207,2.0,457
S0OK00370,H0OH04085,0.7,169
S0OK00370,H0FL23082,0.4,81
S0OK00370,H8VA10106,0.6,132
S0OK00370,H2NY17071,0.4,92
S0OK00370,H0TX28077,2.3,521
S0OK00370,S0DE00175,0.3,65
S0OK00370,H0MO02254,1.5,350
S0OK00370,H8SC01116,2.3,524
S0OK00370,S0CO00575,50.8,11585
S0OK00370,H6GA05217,2.5,575
S0OK00370,H0MI06152,1.9,444
