id,display_name,total_donors,image_url,party,race_type,first_name,last_name,incumbent
S0OK00370,ABBY BROYLES (OK-SEN),22821,S0OK00370.jpg,DEM,senate,ABBY,BROYLES,CHALLENGER
H8IA01094,ABBY FINKENAUER (IA-01),21060,H8IA01094.jpg,DEM,house,ABBY,FINKENAUER,INCUMBENT
H8VA07094,ABIGAIL SPANBERGER (VA-07),30198,H8VA07094.jpg,DEM,house,ABIGAIL,SPANBERGER,INCUMBENT
H0SC02061,ADAIR BOROUGHS (SC-02),23418,H0SC02061.jpg,DEM,house,ADAIR,BOROUGHS,CHALLENGER
H0FL03183,ADAM CHRISTENSEN (FL-03),5611,H0FL03183.jpg,DEM,house,ADAM,CHRISTENSEN,OPEN
H0CA27085,ADAM SCHIFF (CA-28),199174,H0CA27085.jpg,DEM,house,ADAM,SCHIFF,INCUMBENT
S0LA00386,ADRIAN PERKINS (LA-SEN),34184,S0LA00386.jpg,DEM,senate,ADRIAN,PERKINS,CHALLENGER
S0AK00196,AL GROSS (AK-SEN),340921,S0AK00196.jpg,IND,senate,AL,GROSS,CHALLENGER
H0OH12179,ALAINA SHEARER (OH-12),5450,H0OH12179.jpg,DEM,house,ALAINA,SHEARER,CHALLENGER
H4FL15155,ALAN MICHAEL COHN (FL-15),8913,H4FL15155.jpg,DEM,house,ALAN MICHAEL,COHN,CHALLENGER
H0OR04107,ALEK SKARLATOS (OR-04),11634,H0OR04107.jpg,REP,house,ALEK,SKARLATOS,CHALLENGER
H0MA01081,ALEX MORSE (MA-01),29112,H0MA01081.jpg,DEM,house,ALEX,MORSE,
H8NY15148,ALEXANDRIA OCASIO-CORTEZ (NY-14),381232,H8NY15148.jpg,DEM,house,ALEXANDRIA,OCASIO-CORTEZ,INCUMBENT
H8CA50098,AMMAR CAMPA-NAJJAR (CA-50),44995,H8CA50098.jpg,DEM,house,AMMAR,CAMPA-NAJJAR,CHALLENGER
H0NJ02171,AMY KENNEDY (NJ-02),16169,H0NJ02171.jpg,DEM,house,AMY,KENNEDY,CHALLENGER
P80006117,AMY KLOBUCHAR (USA),374485,P80006117.jpg,DEM,president,AMY,KLOBUCHAR,CHALLENGER
S0KY00339,AMY MCGRATH (KY-SEN),999084,S0KY00339.jpg,DEM,senate,AMY,MCGRATH,CHALLENGER
H0NY02234,ANDREW GARBARINO (NY-02),8899,H0NY02234.jpg,REP,house,ANDREW,GARBARINO,OPEN
S0CO00286,ANDREW ROMANOFF (CO-SEN),20476,S0CO00286.jpg,DEM,senate,ANDREW,ROMANOFF,CHALLENGER
P00006486,ANDREW YANG (USA),333486,P00006486.jpg,DEM,president,ANDREW,YANG,CHALLENGER
H0KY06104,ANDY BARR (KY-06),12389,H0KY06104.jpg,REP,house,ANDY,BARR,INCUMBENT
H8NJ03206,ANDY KIM (NJ-03),18966,H8NJ03206.jpg,DEM,house,ANDY,KIM,INCUMBENT
H6MN02131,ANGELA CRAIG (MN-02),13387,H6MN02131.jpg,DEM,house,ANGELA,CRAIG,INCUMBENT
H8AZ01104,ANN KIRKPATRICK (AZ-02),10203,H8AZ01104.jpg,DEM,house,ANN,KIRKPATRICK,INCUMBENT
H2MO02102,ANN WAGNER (MO-02),16174,H2MO02102.jpg,REP,house,ANN,WAGNER,INCUMBENT
H0FL13158,ANNA PAULINA LUNA (FL-13),27312,H0FL13158.jpg,REP,house,ANNA,PAULINA LUNA,CHALLENGER
H8NY22151,ANTHONY BRINDISI (NY-22),15965,H8NY22151.jpg,DEM,house,ANTHONY,BRINDISI,INCUMBENT
H0MN05210,ANTONE MELTON-MEAUX (MN-05),7856,H0MN05210.jpg,DFL,house,ANTONE,MELTON-MEAUX,CHALLENGER
H8NY19181,ANTONIO DELGADO (NY-19),14814,H8NY19181.jpg,DEM,house,ANTONIO,DELGADO,INCUMBENT
H0NJ05208,ARATI KREIBICH (NJ-05),13741,H0NJ05208.jpg,DEM,house,ARATI,KREIBICH,
H0IA01174,ASHLEY ARENHOLZ (IA-01),18007,H0IA01174.jpg,REP,house,ASHLEY,ARENHOLZ,CHALLENGER
H8CA01257,AUDREY DENNEY (CA-01),14193,H8CA01257.jpg,DEM,house,AUDREY,DENNEY,CHALLENGER
H8MA07032,AYANNA PRESSLEY (MA-07),43105,H8MA07032.jpg,DEM,house,AYANNA,PRESSLEY,INCUMBENT
S0KS00323,BARBARA BOLLIER (KS-SEN),399892,S0KS00323.jpg,DEM,senate,BARBARA,BOLLIER,OPEN
H8CA09060,BARBARA LEE (CA-13),6480,H8CA09060.jpg,DEM,house,BARBARA,LEE,INCUMBENT
S0NM00058,BEN LUJAN (NM-SEN),59216,S0NM00058.jpg,DEM,senate,BEN,LUJAN,OPEN
H8UT04053,BEN MCADAMS (UT-04),15883,H8UT04053.jpg,DEM,house,BEN,MCADAMS,INCUMBENT
S4NE00090,BENJAMIN SASSE (NE-SEN),5656,S4NE00090.jpg,REP,senate,BENJAMIN,SASSE,INCUMBENT
P60007168,BERNARD SANDERS (USA),1916561,P60007168.jpg,DEM,president,BERNARD,SANDERS,CHALLENGER
H0WA10075,BETH DOGLIO (WA-10),15576,H0WA10075.jpg,DEM,house,BETH,DOGLIO,OPEN
H8IL13150,BETSY LONDRIGAN (IL-13),10686,H8IL13150.jpg,DEM,house,BETSY,LONDRIGAN,CHALLENGER
S0ME00103,BETSY SWEET (ME-SEN),7011,S0ME00103.jpg,DEM,senate,BETSY,SWEET,CHALLENGER
P00012054,BILL DE BLASIO (USA),5365,P00012054.jpg,DEM,president,BILL,DE BLASIO,CHALLENGER
S0TN00169,BILL HAGERTY (TN-SEN),7691,S0TN00169.jpg,REP,senate,BILL,HAGERTY,OPEN
H2OH02085,BRAD WENSTRUP (OH-02),5033,H2OH02085.jpg,REP,house,BRAD,WENSTRUP,INCUMBENT
H2IL10068,BRADLEY SCHNEIDER (IL-10),5194,H2IL10068.jpg,DEM,house,BRADLEY,SCHNEIDER,INCUMBENT
H6PA08277,BRIAN FITZPATRICK (PA-01),16704,H6PA08277.jpg,REP,house,BRIAN,FITZPATRICK,INCUMBENT
H6FL18097,BRIAN MAST (FL-18),23693,H6FL18097.jpg,REP,house,BRIAN,MAST,INCUMBENT
